Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
15,2,7,2018,49.35,54.51166666666666,224.0,234.9499999999989,0.7,13.0,134.0,2.0,50.0,788.5,0.025000013860000298,262836.0,276.1519998168945,60.00138399505615,685.0
16,2,7,2018,49.7,55.035,224.0,234.9499999999989,0.7052631578947368,14.157894736842106,129.21052631578948,2.0,50.0,788.5,0.025000013860000298,262836.0,276.1519998168945,60.00138399505615,685.0
17,2,7,2018,50.05,55.63666666666666,224.0,234.9499999999989,0.7105263157894737,15.31578947368421,124.42105263157896,2.0,50.0,788.5,0.025000013860000298,262836.0,276.1519998168945,60.00138399505615,685.0
18,2,7,2018,50.4,56.01666666666666,224.0,234.9499999999989,0.7157894736842105,16.473684210526315,119.63157894736842,2.0,50.00041218996048,786.8125,0.02500001532600075,262748.0,276.13239990234365,60.003403991699216,685.0
19,2,7,2018,50.75,56.00833333333333,224.0,234.9499999999989,0.7210526315789474,17.63157894736842,114.84210526315788,2.0,50.00041218996048,786.8125,0.02500001532600075,262748.0,276.13239990234365,60.003403991699216,685.0
20,2,7,2018,51.1,55.71166666666666,224.0,234.9499999999989,0.7263157894736842,18.789473684210527,110.05263157894736,2.0,50.00041218996048,786.8125,0.02500001532600075,262748.0,276.13239990234365,60.003403991699216,685.0
21,2,7,2018,51.45,55.09333333333333,224.0,234.9499999999989,0.731578947368421,19.94736842105263,105.26315789473685,2.0,50.00041218996048,784.5,0.02500001483200025,262860.0,276.11720001220704,60.00387599182129,685.625
22,2,7,2018,51.8,54.48666666666666,224.0,234.9499999999989,0.7368421052631579,21.105263157894736,100.47368421052632,2.0,50.00041218996048,784.5,0.02500001483200025,262860.0,276.11720001220704,60.00387599182129,685.625
23,2,7,2018,52.15,53.89166666666666,224.0,234.9499999999989,0.7421052631578947,22.26315789473684,95.68421052631578,2.0,50.00041218996048,784.5,0.02500001483200025,262860.0,276.11720001220704,60.00387599182129,685.625
0,3,7,2018,52.5,52.50833333333333,224.0,234.9499999999989,0.7473684210526316,23.421052631578952,90.89473684210527,2.0,50.0,790.25,0.02500001571800001,262952.0,276.1169000244141,60.00333999633789,721.375
